ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000180881.19	CAPS2	CAPS2	84698	calcyphosine 2	102.94622817780369	-0.48372894924318016	0.22246016858026366	0.0011365597580784788	0.01112849214372533
ENSG00000134371.13	CDC73	CDC73	79577	cell division cycle 73	947.3701394171815	0.25909869756392123	0.09661894685695344	0.0011408626602429203	0.011164294542615139
ENSG00000107130.10	NCS1	NCS1	23413	neuronal calcium sensor 1	1068.3780800058303	-0.37889974142157645	0.16319613118057819	0.0011450521394082275	0.011198947084857818
ENSG00000170323.9	FABP4	FABP4	2167	fatty acid binding protein 4	8.916363818481743	1.114899992832901	1.1340319784666553	0.0011487388993292882	0.011228646445509602
ENSG00000130150.12	MOSPD2	MOSPD2	158747	motile sperm domain containing 2	827.9750781191993	0.5149962263958068	0.2411613287002112	0.0011510478444663893	0.011244852019017804
ENSG00000263465.4	SRSF8	SRSF8	10929	serine and arginine rich splicing factor 8	565.0634821555087	0.3854979836673784	0.1671746942262416	0.0011559563027311215	0.011286420158717881
ENSG00000122507.21	BBS9	BBS9	27241	Bardet-Biedl syndrome 9	552.2983662688115	-0.2890992454591781	0.11287124690131167	0.0011583354223980939	0.011303259556869987
ENSG00000150403.18	TMCO3	TMCO3	55002	transmembrane and coiled-coil domains 3	3633.258341257824	0.2382291806208387	0.08632205795744466	0.0011625650870836677	0.011338127715476628
ENSG00000170113.16	NIPA1	NIPA1	123606	NIPA magnesium transporter 1	342.8807456286459	0.27922732633284114	0.1075852963254781	0.0011657218040326276	0.011359043947863712
ENSG00000136193.17	SCRN1	SCRN1	9805	secernin 1	4909.592159934376	0.34199190965344284	0.14267117794809375	0.0011660250648194974	0.011359043947863712
ENSG00000103742.12	IGDCC4	IGDCC4	57722	immunoglobulin superfamily DCC subclass member 4	368.14843099911485	-1.0426852749375717	0.7851156399139221	0.0011670299072421614	0.011362424215268665
ENSG00000273038.2	NA	ENSG00000273038.2	NA	NA	86.80521597623381	0.624766462736888	0.3113337166551922	0.001172295355372059	0.011407259367879553
ENSG00000287260.1	LOC101928868	LOC101928868	101928868	uncharacterized LOC101928868	17.44230474131022	-0.8449094156984763	0.5067203858059408	0.001184073601925114	0.011515382461965411
ENSG00000169946.14	ZFPM2	ZFPM2	23414	zinc finger protein, FOG family member 2	493.01957011722266	-0.4371887346221475	0.1973301768339885	0.0011866962234862355	0.011534393456417704
ENSG00000179431.7	FJX1	FJX1	24147	four-jointed box kinase 1	149.2013296612384	0.4691392893234871	0.21573748112614324	0.0011888533888634487	0.011548861491816359
ENSG00000067992.15	PDK3	PDK3	5165	pyruvate dehydrogenase kinase 3	311.0176223058577	0.5113443926371779	0.24044694809255887	0.001190068738901812	0.011554169341378357
ENSG00000107937.19	GTPBP4	GTPBP4	23560	GTP binding protein 4	764.1081800286807	0.3804911387268274	0.16509771972956477	0.001191347388587913	0.0115600854470171
ENSG00000225783.8	MIAT	MIAT	440823	myocardial infarction associated transcript	59.75002488409251	-0.9631233589327296	0.6618651872853097	0.0011928597444084079	0.011568261373061214
ENSG00000160991.16	ORAI2	ORAI2	80228	ORAI calcium release-activated calcium modulator 2	747.2179966183235	-0.41041060220980646	0.1822729385313115	0.001195803432804558	0.011587588043933152
ENSG00000122641.11	INHBA	INHBA	3624	inhibin subunit beta A	875.7882949784038	0.7192851800816759	0.38467612392946277	0.001196194388740899	0.011587588043933152
ENSG00000259448.3	LINC02352	LINC02352	102725022	long intergenic non-protein coding RNA 2352	10.75632956486653	0.9465118960485973	0.6386730819684547	0.0011971156202184262	0.011590011767047454
ENSG00000166473.17	PKD1L2	PKD1L2	114780	polycystin 1 like 2 (gene/pseudogene)	142.94770647298088	-0.8156771121654887	0.4765535824662094	0.0011983258889949153	0.011595229554465085
ENSG00000213445.10	SIPA1	SIPA1	6494	signal-induced proliferation-associated 1	582.8461125161671	0.4282075475937439	0.19253097273382117	0.001199322290461364	0.01159837323675738
ENSG00000065308.5	TRAM2	TRAM2	9697	translocation associated membrane protein 2	9256.874651971193	0.18935999203322917	0.06467297735980893	0.0012141007932694927	0.01173472238463944
ENSG00000134697.13	GNL2	GNL2	29889	G protein nucleolar 2	968.5506480250108	0.36784134192493056	0.1583689927899588	0.0012158513048783689	0.011745069204619232
ENSG00000148411.8	NACC2	NACC2	138151	NACC family member 2	1216.512431041486	0.3005338274978762	0.12002965871944894	0.0012172543426958355	0.011752049752399369
ENSG00000162512.16	SDC3	SDC3	9672	syndecan 3	3105.5948764951495	-0.383329796965694	0.16730443158584563	0.001218662090826217	0.011759067951257217
ENSG00000121104.8	FAM117A	FAM117A	81558	family with sequence similarity 117 member A	144.32857998935444	-0.39780304245212567	0.17566237295641518	0.0012214478119817872	0.011779367173952782
ENSG00000065491.8	TBC1D22B	TBC1D22B	55633	TBC1 domain family member 22B	293.73294446911495	-0.31155722587400764	0.12632689656318113	0.001222988540825452	0.011787644016259603
ENSG00000119537.18	KDSR	KDSR	2531	3-ketodihydrosphingosine reductase	2565.9477007898904	0.4424880960082227	0.2014345046976993	0.0012256551298095505	0.011806757056369523
ENSG00000144744.17	UBA3	UBA3	9039	ubiquitin like modifier activating enzyme 3	959.46267574727494	0.2638903918591864	0.10022237150369356	0.0012394244037003271	0.011932741527710173
ENSG00000138002.15	IFT172	IFT172	26160	intraflagellar transport 172	538.8458132985674	-0.28683977735993127	0.11279967505058867	0.001247884854026223	0.01200529476524254
ENSG00000236255.2	NA	ENSG00000236255.2	NA	NA	46.376690089951666	-0.6011053945602256	0.29935943746434307	0.0012483504746627838	0.01200529476524254
ENSG00000185875.13	THNSL1	THNSL1	79896	threonine synthase like 1	60.96075105735312	-0.5558723964066586	0.2701669836600805	0.0012542145317140682	0.012054976845723642
ENSG00000226328.7	NUP50-DT	NUP50-DT	100506714	NUP50 divergent transcript	123.61824090116674	0.5718043352212081	0.28068064692154704	0.0012619603164145485	0.012117123302792611
ENSG00000121653.11	MAPK8IP1	MAPK8IP1	9479	mitogen-activated protein kinase 8 interacting protein 1	205.46109900807096	-0.5124621297026729	0.2437118068906965	0.0012622633106184526	0.012117123302792611
ENSG00000285420.1	PDGFRL2P	PDGFRL2P	116435296	platelet derived growth factor receptor like 2, pseudogene	4.242639213043317	0.9926941744030121	1.2131173983386438	0.0012627849667106704	0.012117123302792611
ENSG00000118579.13	MED28	MED28	80306	mediator complex subunit 28	1121.1281304632214	0.2937164127641027	0.11691840363568536	0.001269720401509173	0.012176907703979143
ENSG00000153936.17	HS2ST1	HS2ST1	9653	heparan sulfate 2-O-sulfotransferase 1	1549.1197297117117	0.5984437890739257	0.29872262914663805	0.0012714158833775338	0.012186401297279005
ENSG00000173545.5	ZNF622	ZNF622	90441	zinc finger protein 622	509.91296385189514	0.27788443741598545	0.10818716030950848	0.0012746666052583246	0.012210782920699825
ENSG00000170745.12	KCNS3	KCNS3	3790	potassium voltage-gated channel modifier subfamily S member 3	80.99410322547436	0.6578745685974824	0.3414098337148045	0.001275694610883908	0.01221385660708806
ENSG00000151229.13	SLC2A13	SLC2A13	114134	solute carrier family 2 member 13	387.83861347766504	0.32702591552627425	0.1360049391608849	0.0012778675203398311	0.012227882443938817
ENSG00000133059.17	DSTYK	DSTYK	25778	dual serine/threonine and tyrosine protein kinase	1623.3625843358705	-0.3451890719329325	0.1464983999401419	0.001278770948613036	0.012229751840777606
ENSG00000121858.11	TNFSF10	TNFSF10	8743	TNF superfamily member 10	244.46846516622878	-0.6679736322675168	0.3495142199643359	0.0012812177579614268	0.01224637139762577
ENSG00000048342.16	CC2D2A	CC2D2A	57545	coiled-coil and C2 domain containing 2A	826.9873388136052	-0.31766706783354637	0.1306988514493014	0.0012824156439953203	0.012251041484008391
ENSG00000213699.9	SLC35F6	SLC35F6	54978	solute carrier family 35 member F6	973.6663952086827	0.24942327852291626	0.09314042862931425	0.0012875079173730536	0.012292889302856486
ENSG00000112146.16	FBXO9	FBXO9	26268	F-box protein 9	1322.13733294659	0.24100143390044146	0.08886180118942463	0.0012886604259236601	0.012297095511907987
ENSG00000156113.23	KCNMA1	KCNMA1	3778	potassium calcium-activated channel subfamily M alpha 1	749.476966107851	-0.4556600728861956	0.21121699523426127	0.0013024291962994332	0.012421621799273225
ENSG00000014216.15	CAPN1	CAPN1	823	calpain 1	3387.332065869101	0.22705711023871267	0.08218188967521667	0.0013103182703327117	0.012489965322950661
ENSG00000143493.13	INTS7	INTS7	25896	integrator complex subunit 7	313.42060856779193	-0.42977582224724914	0.19630428417974907	0.0013117255323699549	0.012496482843405328
ENSG00000120837.8	NFYB	NFYB	4801	nuclear transcription factor Y subunit beta	1836.6587853828669	0.6825597310816535	0.3639955064214501	0.0013234974834137564	0.01260168055872238
ENSG00000087338.5	GMCL1	GMCL1	64395	germ cell-less 1, spermatogenesis associated	311.17875445771045	0.3434400457083526	0.14638212266610928	0.0013313817287423895	0.01266653318325414
ENSG00000104894.12	CD37	CD37	951	CD37 molecule	24.289336917507192	-0.7539240324302177	0.42835477065595007	0.001331775374061459	0.01266653318325414
ENSG00000172954.13	LCLAT1	LCLAT1	253558	lysocardiolipin acyltransferase 1	726.313208898344	0.623553854503789	0.31965744217633163	0.0013372791481332997	0.012711391255726233
ENSG00000154114.12	TBCEL	TBCEL	219899	tubulin folding cofactor E like	471.7231820369641	0.26420182454067465	0.10144610059141478	0.0013379637160091645	0.012711391255726233
ENSG00000104142.11	VPS18	VPS18	57617	VPS18 core subunit of CORVET and HOPS complexes	876.1797175917748	0.3380174099053832	0.14343308851348688	0.0013440852347920472	0.012762528958399253
ENSG00000178734.5	LMO7DN	LMO7DN	729420	LMO7 downstream neighbor	14.219718786892239	-0.8994489891943871	0.6029152802836791	0.001347047062351909	0.012783624648869327
ENSG00000132406.12	TMEM128	TMEM128	85013	transmembrane protein 128	363.2932426443401	0.29735211336861656	0.12004847441724414	0.0013520409204139418	0.012819167125217095
ENSG00000196914.9	ARHGEF12	ARHGEF12	23365	Rho guanine nucleotide exchange factor 12	6120.230006220745	0.25654563651734824	0.09749740775599366	0.0013522766617731325	0.012819167125217095
ENSG00000241058.4	NSUN6	NSUN6	221078	NOP2/Sun RNA methyltransferase 6	100.92376627845387	-0.48425105844996125	0.22972617918745875	0.0013540493147818353	0.012828930205656534
ENSG00000120696.9	KBTBD7	KBTBD7	84078	kelch repeat and BTB domain containing 7	135.9474733875125	-0.3550876861648015	0.15363883133439116	0.0013578858616998502	0.012858226207938493
ENSG00000116299.17	ELAPOR1	ELAPOR1	57535	endosome-lysosome associated apoptosis and autophagy regulator 1	30.66558569997706	-0.7072438687183342	0.3876442422757549	0.0013610571386132922	0.012881193916782895
ENSG00000196465.10	MYL6B	MYL6B	140465	myosin light chain 6B	753.6620391077394	-0.3254885619780806	0.13642715694645977	0.00136271463410906	0.012889817721977921
ENSG00000004866.20	ST7	ST7	7982	suppression of tumorigenicity 7	401.5073635651386	-0.42542844154351056	0.195282609694697	0.0013744318287279025	0.012988122087433515
ENSG00000131899.11	LLGL1	LLGL1	3996	LLGL scribble cell polarity complex component 1	1184.979720022561	-0.3393792554606971	0.14472327005179086	0.0013746113464467617	0.012988122087433515
ENSG00000162869.16	PPP1R21	PPP1R21	129285	protein phosphatase 1 regulatory subunit 21	569.9738261500879	0.3782226831252687	0.1676082713010918	0.0013793443843859489	0.013025716898367474
ENSG00000103222.19	ABCC1	ABCC1	4363	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	5030.689634700443	-0.31628098795455784	0.1314232104738402	0.0013867528823507378	0.013088522286318
ENSG00000054938.15	CHRDL2	CHRDL2	25884	chordin like 2	92.45939362909473	-0.8102429834467533	0.49475582873469054	0.0013894086646284792	0.013106426245474107
ENSG00000232871.8	NA	ENSG00000232871.8	NA	NA	10.371908335925538	-1.0478952159925812	0.907408408847894	0.0013936157195233807	0.01313591446534819
ENSG00000105402.8	NAPA	NAPA	8775	NSF attachment protein alpha	758.5690866160803	0.26462947951772553	0.10226704368643907	0.0013947627712585728	0.01313591446534819
ENSG00000112972.15	HMGCS1	HMGCS1	3157	3-hydroxy-3-methylglutaryl-CoA synthase 1	239.34101028806055	-0.31404721337884234	0.1302386334281421	0.0013948162997596447	0.01313591446534819
ENSG00000115840.14	SLC25A12	SLC25A12	8604	solute carrier family 25 member 12	490.25342220901183	0.37111424137529725	0.1639361402407474	0.001406437142356156	0.013231217773539675
ENSG00000166165.13	CKB	CKB	1152	creatine kinase B	457.1673948289777	0.5584618779139804	0.2781569570495093	0.0014071702418074023	0.013231217773539675
ENSG00000152580.8	IGSF10	IGSF10	285313	immunoglobulin superfamily member 10	5964.880865547012	-0.7307434262485878	0.41288413612664343	0.001407234081171398	0.013231217773539675
ENSG00000275131.3	NA	ENSG00000275131.3	NA	NA	679.369472357035	0.5644677949809671	0.28244047582782905	0.0014146207957310571	0.013293433288284449
ENSG00000109184.15	DCUN1D4	DCUN1D4	23142	defective in cullin neddylation 1 domain containing 4	1181.5500296894575	0.2804238346578428	0.11127569951320498	0.0014195701039664192	0.013330207685614087
ENSG00000215251.4	FASTKD5	FASTKD5	60493	FAST kinase domains 5	198.98065667194894	0.4331172307720543	0.20094217092113778	0.0014202645103759892	0.013330207685614087
ENSG00000111481.10	COPZ1	COPZ1	22818	COPI coat complex subunit zeta 1	2036.7502712352216	-0.20978412315910197	0.0748736896249697	0.0014208494875645862	0.013330207685614087
ENSG00000169857.8	AVEN	AVEN	57099	apoptosis and caspase activation inhibitor	270.98385483721785	0.4814214895162044	0.23008994065191626	0.0014232943857637136	0.013345896107986354
ENSG00000076685.18	NT5C2	NT5C2	22978	5'-nucleotidase, cytosolic II	983.9102785094219	0.3581083334678756	0.15693634776441967	0.001445187835767668	0.013543833043613219
ENSG00000156471.13	PTDSS1	PTDSS1	9791	phosphatidylserine synthase 1	2262.6279628127886	-0.3884054041681216	0.17497121945345087	0.0014480325121290357	0.013563133161330102
ENSG00000151151.6	IPMK	IPMK	253430	inositol polyphosphate multikinase	332.5191397019378	0.46734282743124617	0.2227484302007173	0.0014669560662804138	0.013732935055173607
ENSG00000112137.17	PHACTR1	PHACTR1	221692	phosphatase and actin regulator 1	67.39662643888414	-0.7128015178324341	0.4010669146225664	0.0014688238850679121	0.013735587505902078
ENSG00000116406.19	EDEM3	EDEM3	80267	ER degradation enhancing alpha-mannosidase like protein 3	1670.275953694078	0.2927616871171192	0.11887303401876814	0.00146882990524555	0.013735587505902078
ENSG00000128274.17	A4GALT	A4GALT	53947	alpha 1,4-galactosyltransferase (P1PK blood group)	1244.524934077014	0.3966539519079544	0.18032971913228443	0.0014703780932617664	0.013742624689836164
ENSG00000172123.12	SLFN12	SLFN12	55106	schlafen family member 12	406.9039038625965	0.4729806420982976	0.22636340686207487	0.0014731412093972683	0.013761003228074428
ENSG00000158806.14	NPM2	NPM2	10361	nucleophosmin/nucleoplasmin 2	34.10058379128753	-0.7276438756028498	0.41579651986406646	0.0014765565099293526	0.013785450832162044
ENSG00000230124.8	ACBD6	ACBD6	84320	acyl-CoA binding domain containing 6	748.3299041687437	-0.27949183840181646	0.11142624084315447	0.0014803322872128603	0.013813235691377917
ENSG00000170364.12	SETMAR	SETMAR	6419	SET domain and mariner transposase fusion gene	376.80202897672024	0.4392023377859097	0.20627746001674316	0.0014899389807233475	0.013888194944095758
ENSG00000185561.10	TLCD2	TLCD2	727910	TLC domain containing 2	1201.3984725576054	0.6168236243112212	0.3226983412133606	0.0014899736701835017	0.013888194944095758
ENSG00000157538.14	VPS26C	VPS26C	10311	VPS26 endosomal protein sorting factor C	1677.7919043387756	0.29298904031219275	0.11933989717828107	0.0014969873537092802	0.013946043998525722
ENSG00000149346.15	SLX4IP	SLX4IP	128710	SLX4 interacting protein	95.38484208365782	-0.43476233370866935	0.20380014346784886	0.0014984520796895039	0.013952164054122432
ENSG00000179632.10	MAF1	MAF1	84232	MAF1 homolog, negative regulator of RNA polymerase III	1855.8064839267954	0.22709373893974938	0.08366819485689007	0.0015015717722154445	0.0139736786905739
ENSG00000143772.9	ITPKB	ITPKB	3707	inositol-trisphosphate 3-kinase B	1223.0268486276138	-0.5932029668273117	0.3060692643755263	0.0015026713648508174	0.013974380941328607
ENSG00000105810.9	CDK6	CDK6	1021	cyclin dependent kinase 6	1419.903608798932	-0.5100015080175625	0.250340463428421	0.001503766692586278	0.013974380941328607
ENSG00000102007.11	PLP2	PLP2	5355	proteolipid protein 2	646.9228909715258	0.35011765221526975	0.15316448221029122	0.0015040744656050187	0.013974380941328607
ENSG00000186469.8	GNG2	GNG2	54331	G protein subunit gamma 2	318.67650308413283	-0.6758323562033368	0.37079978915020423	0.0015071515146960802	0.013987636906094919
ENSG00000163870.16	TPRA1	TPRA1	131601	transmembrane protein adipocyte associated 1	646.7863901567978	0.2801249793396683	0.11208585788489416	0.0015078479757130786	0.013987636906094919
ENSG00000143753.13	DEGS1	DEGS1	8560	delta 4-desaturase, sphingolipid 1	2478.674744300017	0.311446335645874	0.13025611982341956	0.0015081690942827148	0.013987636906094919
ENSG00000008083.14	JARID2	JARID2	3720	jumonji and AT-rich interaction domain containing 2	303.7998950145438	0.34604335429511907	0.15080673669007477	0.001508740594954541	0.013987636906094919
ENSG00000253139.1	NA	ENSG00000253139.1	NA	NA	15.208708896403062	1.0008752224386717	0.830678014624461	0.0015096852989192767	0.013988886525179049
ENSG00000167114.13	SLC27A4	SLC27A4	10999	solute carrier family 27 member 4	391.44006318956974	0.34126954598690024	0.14802190156677095	0.0015128689264805632	0.01400622846310491
ENSG00000148158.17	SNX30	SNX30	401548	sorting nexin family member 30	791.3626604043546	-0.4257220405186143	0.1986838264871221	0.0015131786887536917	0.01400622846310491
ENSG00000184949.16	FAM227A	FAM227A	646851	family with sequence similarity 227 member A	50.4293014214704	-0.5513956022837543	0.2779136116416551	0.0015208570580552943	0.014069760635635267
ENSG00000144648.16	ACKR2	ACKR2	1238	atypical chemokine receptor 2	24.21049416834541	0.9799186669716481	0.7897197493551206	0.0015346156977180622	0.014189444502669362
ENSG00000174804.4	FZD4	FZD4	8322	frizzled class receptor 4	1286.6949758219253	0.5665269030661032	0.2888187586065516	0.001536798166026501	0.014202021360946884
ENSG00000256713.7	PGA5	PGA5	5222	pepsinogen A5	4.482644538479506	-1.002624784845601	1.109678047707796	0.0015422597960541731	0.014244872298100363
ENSG00000174738.13	NR1D2	NR1D2	9975	nuclear receptor subfamily 1 group D member 2	1113.8055184974105	-0.44527742010790006	0.21126676187106028	0.0015435157140131	0.01424885270573718
ENSG00000104738.18	MCM4	MCM4	4173	minichromosome maintenance complex component 4	513.519282947012	-0.3637607027817354	0.16208544673111158	0.0015489830908419094	0.014291685868067018
ENSG00000224470.8	ATXN1L	ATXN1L	342371	ataxin 1 like	1119.6630092957432	0.3305843320256881	0.14225435279168222	0.0015542832175253068	0.014332930984034759
ENSG00000120802.13	TMPO	TMPO	7112	thymopoietin	457.81311149651515	-0.30611426974658246	0.12773476581576032	0.0015565303695636388	0.014345993886394433
ENSG00000279204.1	NA	ENSG00000279204.1	NA	NA	34.601414331500955	0.8027767757227001	0.5066672832172734	0.0015587898437314754	0.014359156363162689
ENSG00000183023.18	SLC8A1	SLC8A1	6546	solute carrier family 8 member A1	894.2827280759834	-0.5689783879852037	0.2916295093439327	0.0015644126791404427	0.0144032706791651
ENSG00000128510.12	CPA4	CPA4	51200	carboxypeptidase A4	160.7629964595141	-0.9948295412448062	0.8401774787635512	0.0015678146927014434	0.014422743432681651
ENSG00000147437.10	GNRH1	GNRH1	2796	gonadotropin releasing hormone 1	98.03777268202332	0.5039021591146815	0.24848098560605023	0.0015681977863927826	0.014422743432681651
ENSG00000111737.12	RAB35	RAB35	11021	RAB35, member RAS oncogene family	1106.8717540499435	0.3168247865890926	0.13432390725574955	0.0015749601269463482	0.014468008860845332
ENSG00000095380.11	NANS	NANS	54187	N-acetylneuraminate synthase	341.63405681288833	0.2918313819391091	0.11958161090131995	0.0015754602246067693	0.014468008860845332
ENSG00000196139.14	AKR1C3	AKR1C3	8644	aldo-keto reductase family 1 member C3	1372.3803125445436	-0.5517809585431256	0.280252368370111	0.0015760120809627323	0.014468008860845332
ENSG00000287935.1	LOC124902606	LOC124902606	124902606	uncharacterized LOC124902606	7.992594848825383	0.9759993317657427	0.7955198566378612	0.0015764701642028089	0.014468008860845332
ENSG00000155511.18	GRIA1	GRIA1	2890	glutamate ionotropic receptor AMPA type subunit 1	2854.8875509400777	0.5925458270364219	0.30901557103124805	0.001578730781628475	0.014473541780110148
ENSG00000043143.20	JADE2	JADE2	23338	jade family PHD finger 2	1502.448601086016	0.25944589656836947	0.1012172432421487	0.0015787489991736636	0.014473541780110148
ENSG00000104825.17	NFKBIB	NFKBIB	4793	NFKB inhibitor beta	411.8697239128211	0.26896050671765287	0.10657424285001414	0.0015855655516038656	0.014528322656393616
ENSG00000112304.11	ACOT13	ACOT13	55856	acyl-CoA thioesterase 13	284.9136027827556	-0.3885792164295951	0.1777523186476239	0.0015870605999224686	0.014534311072036522
ENSG00000277397.1	NA	ENSG00000277397.1	NA	NA	6.192878358236878	-1.0102325074306904	0.9033258251860394	0.0015884559387244713	0.014536323277953013
ENSG00000112297.16	CRYBG1	CRYBG1	202	crystallin beta-gamma domain containing 1	328.4232809727176	0.47192494648528466	0.22887965872583144	0.0015889635449730945	0.014536323277953013
ENSG00000223811.1	NA	ENSG00000223811.1	NA	NA	5.894434934778382	-1.019414746190561	1.019669147438425	0.0015928858891195103	0.01456449183529496
ENSG00000126767.18	ELK1	ELK1	2002	ETS transcription factor ELK1	632.8442794017566	0.3199657758259978	0.13648518690904904	0.0015964464718834664	0.014589324583265202
ENSG00000197006.14	METTL9	METTL9	51108	methyltransferase 9, His-X-His N1(pi)-histidine	1784.8698457270207	-0.21631370433424313	0.07909320276620492	0.0015982069381366229	0.014597689177945928
ENSG00000139220.16	PPFIA2	PPFIA2	8499	PTPRF interacting protein alpha 2	38.78924348453047	0.7922510239563383	0.4986122867636576	0.0016004445247507783	0.014603401140148752
ENSG00000023697.13	DERA	DERA	51071	deoxyribose-phosphate aldolase	476.60959826275433	0.26880167238792346	0.10663092201100695	0.001600523295408846	0.014603401140148752
ENSG00000166292.12	TMEM100	TMEM100	55273	transmembrane protein 100	38.401217486579775	0.7975342246666407	0.5057320129474382	0.001605353675245035	0.014639740590724521
ENSG00000186260.16	MRTFB	MRTFB	57496	myocardin related transcription factor B	668.1744607926645	-0.31309553001043194	0.13269926185385447	0.0016212291465077485	0.014776712305267458
ENSG00000170734.12	POLH	POLH	5429	DNA polymerase eta	1083.9554229051503	-0.287774178140948	0.11774788803078891	0.0016229955095435824	0.014785009726179722
ENSG00000250657.1	NA	ENSG00000250657.1	NA	NA	4.800123647919341	-0.9844032383383094	1.1015435416446548	0.0016269283161280497	0.014813023656385703
ENSG00000170242.18	USP47	USP47	55031	ubiquitin specific peptidase 47	2029.4222881439384	0.36652558846710703	0.16514237191924167	0.0016311979763460706	0.014844073470731998
ENSG00000148925.10	BTBD10	BTBD10	84280	BTB domain containing 10	498.67262951144005	-0.26585935123406845	0.1054695437543492	0.001652445644225671	0.015029510883131012
ENSG00000177663.14	IL17RA	IL17RA	23765	interleukin 17 receptor A	917.8951852818681	0.3688118503997715	0.1672299680686036	0.0016727564338419407	0.015206236381746315
ENSG00000171865.10	RNASEH1	RNASEH1	246243	ribonuclease H1	878.0668970850066	0.23905290021225398	0.09111959490216369	0.0016838776313829224	0.01529928166714668
ENSG00000183655.13	KLHL25	KLHL25	64410	kelch like family member 25	137.5068265833165	0.44946466672505003	0.21732273488383355	0.0016880687061334647	0.015329296893973292
ENSG00000122376.11	SHLD2	SHLD2	54537	shieldin complex subunit 2	316.5403767571843	0.306899776055412	0.12986483146225045	0.0016921036421882031	0.015357863430307222
ENSG00000161642.17	ZNF385A	ZNF385A	25946	zinc finger protein 385A	482.4860173241438	-0.5653628901582277	0.2943599384243357	0.0016985328353974598	0.015408119292534099
ENSG00000229036.7	NA	ENSG00000229036.7	NA	NA	49.842463998282405	-0.536597945845359	0.27447635629688	0.001704438160860066	0.015453572658464598
ENSG00000140092.14	FBLN5	FBLN5	10516	fibulin 5	9311.028817862592	0.2619627187885427	0.1037779906590799	0.0017071431351169666	0.015469977035540528
ENSG00000182379.10	NXPH4	NXPH4	11247	neurexophilin 4	19.866948711182534	-0.7329077594322434	0.44153506732511494	0.0017172047494978897	0.015552879745257906
ENSG00000166780.11	BMERB1	BMERB1	89927	bMERB domain containing 1	1183.7171498512107	0.39536431941364025	0.1843470167741044	0.0017180925517573	0.015552879745257906
ENSG00000105996.7	HOXA2	HOXA2	3199	homeobox A2	58.39891714583525	-0.5516079621724419	0.28567015855494865	0.0017270006104247342	0.015625329776456788
ENSG00000198018.7	ENTPD7	ENTPD7	57089	ectonucleoside triphosphate diphosphohydrolase 7	393.9131795567482	-0.49818734803494663	0.24960605838190741	0.0017308610293070364	0.01565205848072834
ENSG00000099256.19	PRTFDC1	PRTFDC1	56952	phosphoribosyl transferase domain containing 1	363.0193083077944	-0.3205877088945198	0.1387412363797611	0.0017405560132768485	0.015731493177037013
ENSG00000162496.9	DHRS3	DHRS3	9249	dehydrogenase/reductase 3	3846.044744523934	0.6976353734802836	0.4069427521794588	0.001743036422991267	0.015745672122335335
ENSG00000100577.19	GSTZ1	GSTZ1	2954	glutathione S-transferase zeta 1	191.43779241320456	-0.3003719007436883	0.12660645925959743	0.00174873167387265	0.01578886224314083
ENSG00000153214.11	TMEM87B	TMEM87B	84910	transmembrane protein 87B	1109.923383499557	0.4842445838221399	0.24116083924263187	0.0017544486911941928	0.015832203654287405
ENSG00000013583.10	HEBP1	HEBP1	50865	heme binding protein 1	1439.161949732099	0.31171953142275555	0.13354946879492072	0.0017566058806430876	0.015843392569434678
ENSG00000164808.17	SPIDR	SPIDR	23514	scaffold protein involved in DNA repair	1149.398623500559	0.24588819011039292	0.09534878316590638	0.0017600713783848872	0.01586636369909383
ENSG00000178301.4	AQP11	AQP11	282679	aquaporin 11	81.6751235732193	-0.6197507149079684	0.338500271460792	0.0017639647522015623	0.015893165988536975
ENSG00000143702.16	CEP170	CEP170	9859	centrosomal protein 170	1360.3385244318172	-0.3202481334748965	0.13884410785611215	0.0017649768881198545	0.0158939941666351
ENSG00000171385.9	KCND3	KCND3	3752	potassium voltage-gated channel subfamily D member 3	119.26213879781055	0.8191021460811686	0.5553011454192586	0.0017678619498443231	0.015910291704371547
ENSG00000123416.15	TUBA1B	TUBA1B	10376	tubulin alpha 1b	1103.0418662819573	-0.5356669411615075	0.27599127484177177	0.0017686289990964201	0.015910291704371547
ENSG00000106948.16	AKNA	AKNA	80709	AT-hook transcription factor	515.4460419906567	-0.5368585325860025	0.2769025969409265	0.0017711969015098107	0.015920115350805245
ENSG00000286289.1	LOC107984270	LOC107984270	107984270	uncharacterized LOC107984270	135.4542007184752	0.9771165327505087	0.8907333539608829	0.0017715644803293006	0.015920115350805245
ENSG00000116106.12	EPHA4	EPHA4	2043	EPH receptor A4	290.68245249772997	0.7771359017991929	0.4997089933194597	0.0017799015074140285	0.01598375813036821
ENSG00000198818.10	SFT2D1	SFT2D1	113402	SFT2 domain containing 1	450.5972117998156	0.2992558107744623	0.12630545543511057	0.001781680004043832	0.01598375813036821
ENSG00000075539.15	FRYL	FRYL	285527	FRY like transcription coactivator	1126.590678985676	0.283413207049164	0.11686257781652114	0.001782323745554497	0.01598375813036821
ENSG00000241553.12	ARPC4	ARPC4	10093	actin related protein 2/3 complex subunit 4	891.5772193487051	0.3619337869572886	0.16475823296593997	0.0017823482028189656	0.01598375813036821
